num_sample,mu_est,ci_low,ci_high
100,8.252881445884704,6.754660649605366,9.751102242164041
200,8.926937613487244,7.531789807358163,10.322085419616325
500,7.901359459877014,7.223237739064257,8.579481180689772
1000,8.546257561206817,7.954709438525241,9.137805683888391
2000,8.223701058387757,7.850862175409476,8.596539941366037
5000,8.160649656391143,7.925362626867374,8.395936685914913
10000,8.200712814712524,8.02899724035877,8.372428389066279
20000,8.206630032420158,8.086981506270805,8.326278558569511
50000,8.20877732629776,8.133445834415237,8.284108818180282
